"No.","ClientID","Client Name","Place","Diff Pix","Monitor Date","Created Date"
"1","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:13:42","2016-06-09 19:25:12"
"2","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:14:42","2016-06-09 19:25:12"
"3","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:15:42","2016-06-09 19:25:12"
"4","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:16:42","2016-06-09 19:25:12"
"5","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:17:42","2016-06-09 19:25:12"
"6","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:18:42","2016-06-09 19:25:12"
"7","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:19:42","2016-06-09 19:25:12"
"8","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:20:42","2016-06-09 19:25:12"
"9","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:21:42","2016-06-09 19:25:12"
"10","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:22:42","2016-06-09 19:25:12"
"11","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:23:42","2016-06-09 19:25:12"
"12","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","15","2016-06-07 15:24:42","2016-06-09 19:25:12"
"13","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:25:42","2016-06-09 19:25:12"
"14","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:26:42","2016-06-09 19:25:12"
"15","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:27:42","2016-06-09 19:25:12"
"16","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:28:42","2016-06-09 19:25:12"
"17","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:29:42","2016-06-09 19:25:12"
"18","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:30:42","2016-06-09 19:25:12"
"19","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:31:42","2016-06-09 19:25:12"
"20","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:32:42","2016-06-09 19:25:12"
"21","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:33:42","2016-06-09 19:25:12"
"22","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:34:42","2016-06-09 19:25:12"
"23","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:35:42","2016-06-09 19:25:13"
"24","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:36:42","2016-06-09 19:25:13"
"25","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:37:42","2016-06-09 19:25:13"
"26","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:38:42","2016-06-09 19:25:13"
"27","C-003","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:39:42","2016-06-09 19:25:13"
